VERSION 3
POINT_NUMB ADDR ID                                   TYP MESSAGE                              ALM   EQ  INF   OR  UN  RTU  ASDU       KCONV1       KCONV2  SUPCMD  DC  PR       INIVAL "SUBEST~BAY~DESCRIPTION"
  15006       0 ПС35Q5H-ТН                             D Виведено/Введено                       0   28    0    0   t    0     2       1.0000       0.0000       0   0   2       1.0000 "ПС35~Q5H~ТН в роботі"
  15009       0 ПС35Q5H-Fault                          D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q5H~НесправністьВВ"
  15011       0 ПС35Q5H-3H3                            D Виведено/Введено                     106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q5H~ПоложенняЗаземлювача"
  17009       0 ПС35Q7H-Fault                          D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q7H~Несправність"
  18006       0 ПС35Q8H-ТН                             D Виведено/Введено                       0   28    0    0   t    0     2       1.0000       0.0000       0   0   2       1.0000 "ПС35~Q8H~ТН в роботі"
  18009       0 ПС35Q8H-Fault                          D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q8H~НесправністьВВ"
  18011       0 ПС35Q8H-3H3                            D Виведено/Введено                     106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q8H~ПоложенняЗаземлювача"
  19001       0 ПС35Q9H-U                              A кВ                                   101    1    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q9H~Напруга"
  19002       0 ПС35Q9H-I                              A А                                    102    2    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q9H~Струм"
  19003       0 ПС35Q9H-P                              A МВт                                  103    3    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q9H~АктивнаПотужність "
  19004       0 ПС35Q9H-Q                              A МВар                                 104    4    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q9H~РеактивнаПотужність"
  19005       0 ПС35Q9H-A                              A МВА                                  105    8    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q9H~ПовнаПотужність"
  19006       0 ПС35Q9H-BB                             D Виведено/Введено                       0   28    0    0   t    0     2       1.0000       0.0000       0   0   2       1.0000 "ПС35~Q9H~ПоложенняВВ"
  19007       0 ПС35Q9H-TK_BB                          D Виведено/Введено                       0   28    0    7   t    0    45       1.0000       0.0000       1   3   2       0.0000 "ПС35~Q9H~ТелекеруванняяВВ"
  19008       0 ПС35Q9H-Avar                           D Тривога/немає                        105   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q9H~АварійнеВимкненняВВ"
  19009       0 ПС35Q9H-Fault                          D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q9H~НесправністьВВ"
  19010       0 ПС35Q9H-AnFault                        D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   1       0.0000 "ПС35~Q9H~ТривогаАналоговихВимірів"
  19011       0 ПС35Q9H-3H3                            D Виведено/Введено                     106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q9H~ПоложенняЗаземлювача"
 110001       0 ПС35Q10H-U                             A кВ                                   101    1    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q10H~Напруга"
 110002       0 ПС35Q10H-I                             A А                                    102    2    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q10H~Струм"
 110003       0 ПС35Q10H-P                             A МВт                                  103    3    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q10H~АктивнаПотужність "
 110004       0 ПС35Q10H-Q                             A МВар                                 104    4    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q10H~РеактивнаПотужність"
 110005       0 ПС35Q10H-A                             A МВА                                  105    8    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q10H~ПовнаПотужність"
 110006       0 ПС35Q10H-BB                            D Виведено/Введено                       0   28    0    0   t    0     2       1.0000       0.0000       0   0   2       1.0000 "ПС35~Q10H~ПоложенняВВ"
 110007       0 ПС35Q10H-TK_BB                         D Виведено/Введено                       0   28    0    7   t    0    45       1.0000       0.0000       1   3   2       0.0000 "ПС35~Q10H~ТелекеруванняяВВ"
 110008       0 ПС35Q10H-Avar                          D Тривога/немає                        105   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q10H~АварійнеВимкненняВВ"
 110009       0 ПС35Q10H-Fault                         D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q10H~НесправністьВВ"
 110010       0 ПС35Q10H-AnFault                       D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   1       0.0000 "ПС35~Q10H~ТривогаАналоговихВимірів"
 110011       0 ПС35Q10H-3H3                           D Виведено/Введено                     106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q10H~ПоложенняЗаземлювача"
